recipe,calories,carbohydrates_g,cholesterol_mg,fat_g,protein_g,sodium_mg,url
Slow Cooker Moroccan Chicken,284,37.9,39,5.5,20.7,385,https://www.allrecipes.com/recipe/215218/slow-cooker-moroccan-chicken/
Dog Food Dip,88,1.5,20.2,6.6,5.3,166.4,https://www.allrecipes.com/recipe/24642/dog-food-dip/
Healthier Slow Cooker Gumbo,134,16.1,59.3,3.5,12.1,273,https://www.allrecipes.com/recipe/278208/healthier-slow-cooker-gumbo/
Slow Cooker Green Beans Ham And Potatoes,200,20.6,28.6,9,10.2,133.1,https://www.allrecipes.com/recipe/21417/slow-cooker-green-beans-ham-and-potatoes/
Slow Cooker Roast Beef,555,4.4,161,40.8,40.4,1368.6,https://www.allrecipes.com/recipe/22228/slow-cooker-roast-beef/
Slow Cooker Chicken And Noodles,311,42,92.7,3.5,26.4,81.4,https://www.allrecipes.com/recipe/21788/slow-cooker-chicken-and-noodles/
Slow Cooker Pulled Pork With Orange Juice,381,4,111.8,26.8,29.4,110.9,https://www.allrecipes.com/recipe/234697/slow-cooker-pulled-pork-with-orange-juice/
Slow Cooker Southern Lima Beans And Ham,133,17.8,9.4,3.4,8.4,345.8,https://www.allrecipes.com/recipe/223495/slow-cooker-southern-lima-beans-and-ham/
Cheesy Italian Tortellini,468,35.2,82,24.1,26.9,1185.6,https://www.allrecipes.com/recipe/34942/cheesy-italian-tortellini/
Amazing Slow Cooker Chocolate Cake,313,51.4,32.6,11.3,4.7,434.2,https://www.allrecipes.com/recipe/219907/amazing-slow-cooker-chocolate-cake/
Slow Cooker Baby Back Ribs,501,32.4,117,29.6,24.3,1067.4,https://www.allrecipes.com/recipe/228498/slow-cooker-baby-back-ribs/
Super Easy Slow Cooker Chicken Enchilada Meat,93,8.8,23.4,1.8,10.4,359.1,https://www.allrecipes.com/recipe/228367/super-easy-slow-cooker-chicken-enchilada-meat/
Barbacoa Meat,316,1.3,80,26.2,18.2,77.3,https://www.allrecipes.com/recipe/237711/barbacoa-meat/
Homemade Chili,274,19.6,45.7,13.3,18.8,959,https://www.allrecipes.com/recipe/255259/homemade-chili/
Slow Cooker Zuppa Toscana,447,42.3,78.2,24.8,15.8,1275.4,https://www.allrecipes.com/recipe/261337/slow-cooker-zuppa-toscana/
Chicken And Two Bean Chili,219,37.6,14.7,3.8,12.2,813.1,https://www.allrecipes.com/recipe/154321/chicken-and-two-bean-chili/
Slow Cooker Osso Buco,522,14.6,256.1,21,64.7,488.9,https://www.allrecipes.com/recipe/215319/slow-cooker-osso-buco/
Slow Cooker Broccoli Beef,814,121.4,73.6,16,46.4,2166.9,https://www.allrecipes.com/recipe/238393/slow-cooker-broccoli-beef/
Easiest Pot Roast Ever,526,42.4,103.2,25.3,31.7,547.4,https://www.allrecipes.com/recipe/14670/easiest-pot-roast-ever/
Slow Cooker Tapioca Pudding,191,30.3,58.7,5.2,6.5,66.3,https://www.allrecipes.com/recipe/130923/slow-cooker-tapioca-pudding/
Slow Cooker Enchiladas,712,36,141.9,45.6,40.9,2089.4,https://www.allrecipes.com/recipe/84482/slow-cooker-enchiladas/
Whole Chicken Slow Cooker Recipe,230,1.2,102.5,12.8,25.9,1239,https://www.allrecipes.com/recipe/235713/whole-chicken-slow-cooker-recipe/
Slow Cooker Lamb Stew,438,45.6,64.3,16.5,27,1053.1,https://www.allrecipes.com/recipe/269632/slow-cooker-lamb-stew/
Easiest Slow Cooker French Dip,756,70.5,110.3,30,46.8,1462.5,https://www.allrecipes.com/recipe/99904/easiest-slow-cooker-french-dip/
Easy Slow Cooker Meatballs,179,18.2,38.5,7.2,10.6,502.9,https://www.allrecipes.com/recipe/57981/easy-slow-cooker-meatballs/
Slow Cooker Chicken And Dumplings,385,37,44.8,18,18.1,1244.6,https://www.allrecipes.com/recipe/8941/slow-cooker-chicken-and-dumplings/
Mexican Style Shredded Pork,520,43,107.7,19,41.1,802.1,https://www.allrecipes.com/recipe/72532/mexican-style-shredded-pork/
New Mexico Green Chile Stew,295,19.5,56.5,14.4,22.3,66.2,https://www.allrecipes.com/recipe/184197/new-mexico-green-chile-stew/
Slow Cooker Cilantro Lime Chicken,272,9.3,117.2,4.7,45.3,975.9,https://www.allrecipes.com/recipe/218863/slow-cooker-cilantro-lime-chicken/
Easy Ground Turkey Stew,388,50.7,83.9,9.1,28,910.8,https://www.allrecipes.com/recipe/273158/easy-ground-turkey-stew/
Slow Cooker Pork And Sauerkraut,358,35.7,79.6,14.5,22.3,1057.4,https://www.allrecipes.com/recipe/228630/slow-cooker-pork-and-sauerkraut/
Awesome Pulled Pork Bbq,548,44.2,131.5,23.5,41.4,1513.8,https://www.allrecipes.com/recipe/235166/awesome-pulled-pork-bbq/
Taiwanese Spicy Beef Noodle Soup,482,41.5,62.6,22,27,2366.1,https://www.allrecipes.com/recipe/257581/taiwanese-spicy-beef-noodle-soup/
Hamburger Soup Ii,492,41,85.1,24.7,26.4,529.6,https://www.allrecipes.com/recipe/12955/hamburger-soup-ii/
Easy Slow Cooker Chicken,487,52.9,82.9,14.1,34.6,1648,https://www.allrecipes.com/recipe/8631/easy-slow-cooker-chicken/
Slow Cooker Beer Pulled Pork,209,8.7,53.3,11.8,14.5,568.3,https://www.allrecipes.com/recipe/235950/slow-cooker-beer-pulled-pork/
Amazing Pork Tenderloin In The Slow Cooker,180,5.8,65.5,3.7,24.5,917.5,https://www.allrecipes.com/recipe/75861/amazing-pork-tenderloin-in-the-slow-cooker/
Slow Cooker Buffalo Chicken Wing Soup,634,36.5,137.4,42.4,27.9,1909,https://www.allrecipes.com/recipe/228121/slow-cooker-buffalo-chicken-wing-soup/
Easy Slow Cooker Bbq,269,11.5,67.1,16,17.3,401.5,https://www.allrecipes.com/recipe/235361/easy-slow-cooker-bbq/
Slow Cooker Short Ribs,618,6,116.6,52.2,29.1,289.2,https://www.allrecipes.com/recipe/237166/slow-cooker-short-ribs/
Slow Cooker Chicken Massaman Curry,841,100.7,70.2,34,33.9,700.9,https://www.allrecipes.com/recipe/272374/slow-cooker-chicken-massaman-curry/
Guinness Beer Cheese Dip,224,2.5,53.3,17.8,12.8,915.6,https://www.allrecipes.com/recipe/220556/guinness-beer-cheese-dip/
Slow Cooker Barbecue Ribs,497,33,117,29.6,26,1244.5,https://www.allrecipes.com/recipe/22230/slow-cooker-barbecue-ribs/
Slow Cooker Thai Curried Beef,829,85.6,98.6,39.3,40.3,298.5,https://www.allrecipes.com/recipe/255865/slow-cooker-thai-curried-beef/
Slow Cooker Potluck Spareribs,524,33.5,120,30.2,29.9,1025.6,https://www.allrecipes.com/recipe/231768/slow-cooker-potluck-spareribs/
Slow Cooker Ground Beef Stew,384,46.7,49.6,13,21.5,1199.5,https://www.allrecipes.com/recipe/229248/slow-cooker-ground-beef-stew/
Slow Cooker Bulgogi,365,16.1,90.7,19.3,30.7,1868.4,https://www.allrecipes.com/recipe/246594/slow-cooker-bulgogi/
Sweet Potato Chili,250,32.5,38.3,7.4,16,620.9,https://www.allrecipes.com/recipe/229081/sweet-potato-chili/
Zesty Pulled Pork Sandwiches,505,78.6,52.9,9,25.7,2089.3,https://www.allrecipes.com/recipe/229821/zesty-pulled-pork-sandwiches/
Slow Cooker Alabama Pulled Bbq Chicken,360,4,96.8,25.3,28.3,575.1,https://www.allrecipes.com/recipe/242155/slow-cooker-alabama-pulled-bbq-chicken/
Spicy Slow Cooked Chili,308,22.3,62.3,13.8,23.4,1023.7,https://www.allrecipes.com/recipe/223390/spicy-slow-cooked-chili/
Big Game Dip,211,6.1,48.5,15.5,12.1,1068,https://www.allrecipes.com/recipe/230992/big-game-dip/
Grandmas Slow Cooker Swiss Steak,368,16.2,78.8,19,30.2,997.3,https://www.allrecipes.com/recipe/230773/grandmas-slow-cooker-swiss-steak/
Sunday Brunswick Stew,292,48.3,34.9,3.9,18.4,1464.4,https://www.allrecipes.com/recipe/228639/sunday-brunswick-stew/
Darias Slow Cooker Beef Stroganoff,403,11.5,93.8,26.8,27.2,672.2,https://www.allrecipes.com/recipe/16196/darias-slow-cooker-beef-stroganoff/
Christinas Slow Cooker Chili,306,24.4,52.2,14.4,20.7,487.1,https://www.allrecipes.com/recipe/239016/christinas-slow-cooker-chili/
Barbacoa Style Shredded Beef,303,2.6,77.5,22.9,20.3,150.3,https://www.allrecipes.com/recipe/246835/barbacoa-style-shredded-beef/
Easy And Quick Swiss Steak,349,48.6,27.2,8.7,21.6,304.6,https://www.allrecipes.com/recipe/74352/easy-and-quick-swiss-steak/
Slow Cooker Beef Barbacoa,292,9.1,77.3,18.8,22,350.2,https://www.allrecipes.com/recipe/217412/slow-cooker-beef-barbacoa/
